2025-06-23 23:36:05.679455 - System Idle Process, PID: 0, User: NT AUTHORITY\SYSTEM
2025-06-23 23:36:06.795736 - sihost.exe, PID: 14508, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.795947 - msedge.exe, PID: 14900, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.801312 - nxtupdater.exe, PID: 15032, User: None
2025-06-23 23:36:06.806893 - svchost.exe, PID: 15040, User: None
2025-06-23 23:36:06.807235 - msedgewebview2.exe, PID: 15064, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.807477 - HPAudioControl_19H1.exe, PID: 15096, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.807684 - igfxEMN.exe, PID: 15216, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.813072 - conhost.exe, PID: 15236, User: None
2025-06-23 23:36:06.813423 - PanGPA.exe, PID: 15376, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.813630 - ShellExperienceHost.exe, PID: 15396, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.813812 - msedgewebview2.exe, PID: 15460, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.814083 - explorer.exe, PID: 15532, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.814275 - WidgetService.exe, PID: 15568, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.814458 - svchost.exe, PID: 15704, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.819890 - svchost.exe, PID: 15732, User: None
2025-06-23 23:36:06.825363 - SecurityHealthService.exe, PID: 15912, User: None
2025-06-23 23:36:06.830756 - TaniumClient.exe, PID: 16020, User: None
2025-06-23 23:36:06.831114 - msedgewebview2.exe, PID: 16120, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.831319 - svchost.exe, PID: 16148, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.831515 - dllhost.exe, PID: 16220, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.831727 - msedgewebview2.exe, PID: 16368, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.831913 - RuntimeBroker.exe, PID: 16416, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.832123 - StartMenuExperienceHost.exe, PID: 16524, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.832334 - SearchHost.exe, PID: 16532, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.832533 - nxtusm.exe, PID: 16556, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.839149 - TaniumCX.exe, PID: 16672, User: None
2025-06-23 23:36:06.839638 - RuntimeBroker.exe, PID: 16736, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.839950 - msedgewebview2.exe, PID: 16744, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.840232 - msedgewebview2.exe, PID: 16760, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.840531 - nxtray.exe, PID: 16764, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.840818 - Widgets.exe, PID: 16924, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.841035 - RuntimeBroker.exe, PID: 17012, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.841271 - svchost.exe, PID: 17052, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.841479 - msedgewebview2.exe, PID: 17184, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.847105 - svchost.exe, PID: 17348, User: None
2025-06-23 23:36:06.853000 - TaniumCX.exe, PID: 17352, User: None
2025-06-23 23:36:06.853359 - cmd.exe, PID: 17360, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.853579 - msedgewebview2.exe, PID: 17416, User: DIR\sakshi.avinash.patil
2025-06-23 23:36:06.859843 - TaniumCX.exe, PID: 17480, User: None
